node_id,parent_id,type,name,maps_to_function
N-D1,,Module,D1 账号与身份,
N-D2,,Module,D2 签到,
N-D3,,Module,D3 邀请返利分销,
N-D4,,Module,D4 Telegram登录Bot,
C-D1-01,N-D1,Capability,邮箱账号生命周期(注册/登录/登出),
R-D1-01-01,C-D1-01,Requirement,邮箱密码注册,F-1001
R-D1-01-02,C-D1-01,Requirement,邮箱密码登录,F-1002
R-D1-01-03,C-D1-01,Requirement,用户登出,F-1003
C-D1-02,N-D1,Capability,邮箱验证与密码找回,
R-D1-02-01,C-D1-02,Requirement,发送注册/找回邮箱验证码,F-1004
R-D1-02-02,C-D1-02,Requirement,注册时邮箱验证码校验,F-1005
R-D1-02-03,C-D1-02,Requirement,发送重置密码邮件,F-1006
R-D1-02-04,C-D1-02,Requirement,提交重置新密码,F-1007
C-D1-03,N-D1,Capability,管理端用户管理,
R-D1-03-01,C-D1-03,Requirement,管理端查询/搜索用户,F-1008
R-D1-03-02,C-D1-03,Requirement,管理端创建用户,F-1009
R-D1-03-03,C-D1-03,Requirement,管理端管理用户状态,F-1010
R-D1-03-04,C-D1-03,Requirement,更新用户资料,F-1011
C-D1-04,N-D1,Capability,角色权限与分组,
R-D1-04-01,C-D1-04,Requirement,用户角色分级,F-1012
R-D1-04-02,C-D1-04,Requirement,用户分组绑定,F-1013
R-D1-04-03,C-D1-04,Requirement,用户备注与个人设置,F-1014
C-D1-05,N-D1,Capability,OAuth 登录与绑定,
R-D1-05-01,C-D1-05,Requirement,生成 OAuth state 并暂存 aff,F-1015
R-D1-05-02,C-D1-05,Requirement,GitHub OAuth 登录/注册,F-1016
R-D1-05-03,C-D1-05,Requirement,GitHub legacy_id 迁移,F-1017
R-D1-05-04,C-D1-05,Requirement,Discord OAuth 登录/绑定,F-1018
R-D1-05-05,C-D1-05,Requirement,OIDC 通用 OAuth 登录/绑定,F-1019
R-D1-05-06,C-D1-05,Requirement,LinuxDO OAuth 登录/绑定,F-1020
R-D1-05-07,C-D1-05,Requirement,WeChat 扫码授权,F-1021
R-D1-05-08,C-D1-05,Requirement,WeChat 绑定/登录,F-1022
C-D1-06,N-D1,Capability,自定义 OAuth 与多绑定管理,
R-D1-06-01,C-D1-06,Requirement,获取自定义 OAuth discovery,F-1023
R-D1-06-02,C-D1-06,Requirement,自定义 OAuth provider CRUD,F-1024
R-D1-06-03,C-D1-06,Requirement,自定义 provider 登录与绑定写入,F-1025
R-D1-06-04,C-D1-06,Requirement,解绑自定义 OAuth(本人),F-1026
