function_id,function,module,roles,priority,trigger,core_result,data_objects,evidence,acceptance_focus,state_exception_permission_rule,source_fc
F-1001,邮箱密码注册,D1 账号与身份,匿名访客,P0,POST /api/user/register 提交用户名/密码/邮箱,创建 common 角色用户并初始化额度与 aff_code,User,"controller/user.go Register、api-router.go:69 userRoute.POST(/register, TurnstileCheck)","RegisterEnabled 关闭时返回注册被禁；成功后 user.Role=RoleCommonUser、user.Quota=QuotaForNewUser 且生成 4 位 aff_code","RegisterEnabled=false 时拒绝；用户名重复返回 MsgUserExists；过 TurnstileCheck + CriticalRateLimit",FC-001
F-1002,邮箱密码登录,D1 账号与身份,注册用户,P0,POST /api/user/login 提交凭证,校验通过后 setupLogin 建立会话,User;Session,"api-router.go:70 userRoute.POST(/login, TurnstileCheck);controller/user.go Login","凭证正确且 Status=UserStatusEnabled 才建立会话；被封禁用户登录被拒","被封禁(Status!=Enabled)拒绝登录；过 TurnstileCheck + CriticalRateLimit",FC-001
F-1003,用户登出,D1 账号与身份,登录用户,P1,GET /api/user/logout,清除会话使后续鉴权失效,Session,"api-router.go:75 userRoute.GET(/logout, controller.Logout)",调用后 session 失效，再访问 /api/user/self 返回未授权,需已登录会话；无会话调用幂等返回,FC-001
F-1004,发送注册/找回邮箱验证码,D1 账号与身份,匿名访客,P0,GET /api/verification 携带邮箱,发送一次性邮箱验证码并受频率限制,EmailVerificationCode,"api-router.go:42 GET /verification(EmailVerificationRateLimit + TurnstileCheck);controller.SendEmailVerification","触发后目标邮箱收到验证码；同邮箱短时间重复请求被 EmailVerificationRateLimit 拦截","EmailVerificationEnabled=false 时不可用；EmailVerificationRateLimit 限流；过 TurnstileCheck",FC-002
F-1005,注册时邮箱验证码校验,D1 账号与身份,匿名访客,P0,注册请求携带 verification_code,校验码匹配才允许创建账号,User;EmailVerificationCode,"controller/user.go Register 中 EmailVerificationEnabled 分支(user.go:224)",EmailVerificationEnabled 开启时验证码错误/过期则注册失败，正确才落库,验证码与邮箱不匹配或过期则拒绝注册,FC-002
F-1006,发送重置密码邮件,D1 账号与身份,匿名访客,P0,GET /api/reset_password 携带邮箱,向已注册邮箱发送重置密码链接/令牌,PasswordResetToken,"api-router.go:43 GET /reset_password(CriticalRateLimit + TurnstileCheck);controller.SendPasswordResetEmail",请求后邮箱收到重置令牌；非注册邮箱不发送有效令牌,过 TurnstileCheck + CriticalRateLimit,FC-003
F-1007,提交重置新密码,D1 账号与身份,匿名访客,P0,POST /api/user/reset 携带令牌与新密码,校验令牌后更新用户密码,User;PasswordResetToken,"api-router.go:44 POST /user/reset(CriticalRateLimit);controller.ResetPassword",令牌有效时密码被更新且旧密码失效；令牌无效/过期则拒绝,令牌无效或过期拒绝；过 CriticalRateLimit,FC-003
F-1008,管理端查询/搜索用户,D1 账号与身份,管理员,P1,GET /api/user/ 或 GET /api/user/search,返回用户列表/匹配结果(分页),User,"api-router.go:130 adminRoute.GET(/);api-router.go:133 adminRoute.GET(/search) controller.SearchUsers",返回分页用户列表；search 按关键字过滤命中目标用户,需 adminRoute(AdminAuth)权限,FC-004
F-1009,管理端创建用户,D1 账号与身份,管理员,P1,POST /api/user/ 提交新用户信息,直接创建一个新账号,User,"api-router.go:138 adminRoute.POST(/) controller.CreateUser",创建后新用户可被 GET /api/user/:id 查到,需 AdminAuth；不能创建高于自身角色的用户,FC-004
F-1010,管理端管理用户状态(ManageUser),D1 账号与身份,管理员,P1,POST /api/user/manage,启用/禁用/提升/删除指定用户,User,"api-router.go:139 adminRoute.POST(/manage) controller.ManageUser",对目标用户执行禁用后其 Status 变为禁用且无法登录,需 AdminAuth；不可对同级或更高角色越权操作,FC-004
