node_id,parent_id,type,name,maps_to_function
N-5000,,NFR,横切维度根(NFR/合规/RBAC),
N-5100,N-5000,NFR,性能Performance,
N-5101,N-5100,NFR,网关附加延迟与转发开销,F-5001
N-5102,N-5100,NFR,吞吐与并发压测门禁,F-5002
N-5103,N-5100,NFR,选渠决策开销,F-5001
N-5104,N-5100,NFR,预扣结算与计费表达式开销,F-5001
N-5200,N-5000,NFR,可用性Availability,
N-5201,N-5200,NFR,渠道降级与健康度看板,F-5003
N-5202,N-5200,NFR,跨分组重试与AutoBan自愈,F-5003
N-5203,N-5200,NFR,SLA月度可用性,F-5004
N-5204,N-5200,NFR,容灾RTO/RPO与备份恢复,F-5005
N-5205,N-5200,NFR,限流过载保护与缓存失联降级,F-5003
N-5300,N-5000,NFR,安全Security,
N-5301,N-5300,NFR,密钥与支付Secret加密静态存储,F-5007
N-5302,N-5300,NFR,令牌Key掩码与受控取明文,F-5006
N-5303,N-5300,NFR,日志prompt响应脱敏管线,F-5008
N-5304,N-5300,NFR,高危操作审计留痕,F-5009
N-5305,N-5300,NFR,传输加密与鉴权强度2FA/Passkey,F-5006
N-5306,N-5300,NFR,防刷Turnstile与令牌作用域最小化,F-5006
N-5307,N-5300,NFR,Webhook入站验签,F-5007
N-5400,N-5000,NFR,可观测性Observability,
N-5401,N-5400,NFR,Prometheus RED指标导出,F-5010
N-5402,N-5400,NFR,业务指标与用量准实时,F-5010
N-5403,N-5400,NFR,多渠道告警编排,F-5011
N-5404,N-5400,NFR,链路追踪trace_id贯穿,F-5012
N-5405,N-5400,NFR,日志分级与检索及健康探针,F-5012
N-5500,N-5000,NFR,伸缩性Scalability,
N-5501,N-5500,NFR,无状态横扩与共享缓存,F-5013
N-5502,N-5500,NFR,缓存命中率监控,F-5014
N-5503,N-5500,NFR,DB扩展与日志归档分区,F-5015
N-5504,N-5500,NFR,渠道规模与租户用户规模,F-5013
N-5600,N-5000,Compliance,数据与合规Data&Compliance,
N-5601,N-5600,Compliance,数据分级登记,F-5016
N-5602,N-5600,Compliance,凭证类与PII处理及IP匿名化,F-5020
N-5603,N-5600,Compliance,prompt响应留存策略与保留期,F-5017
N-5604,N-5600,Compliance,日志与用量计费保留期,F-5015
N-5605,N-5600,Compliance,数据出境告知与驻地标注,F-5019
N-5606,N-5600,Compliance,合规分组仅境内provider,F-5018
N-5607,N-5600,Compliance,隐私政策同意闸门,F-5021
N-5608,N-5600,Compliance,账号注销级联删除与可携权,F-5020
N-5609,N-5600,Compliance,备份加密,F-5015
N-5700,N-5000,RBAC,权限与租户RBAC&Tenancy,
N-5701,N-5700,RBAC,三级系统角色鉴权common/admin/root,F-5031
N-5702,N-5700,RBAC,七产品角色映射访客至Root,F-5031
N-5703,N-5700,RBAC,功能权限组运营集运维集,F-5030
N-5704,N-5700,RBAC,self-scope资源越权防护,F-5032
N-5705,N-5700,RBAC,高危操作二次验证闸门,F-5033
N-5706,N-5700,RBAC,角色操作权限矩阵配置化与审计,F-5034
N-5707,N-5700,RBAC,多租户决策三阶段建议,F-5035
N-5708,N-5707,RBAC,团队工作区实体阶段二预留,F-5035
