node_id,parent_id,type,name,maps_to_function
N-D5,,domain,D5 异步任务中心,
N-D5-1,N-D5,group,任务记录与状态机,
N-D5-1-1,N-D5-1,function,通用异步任务记录写入与状态机流转,F-2001
N-D5-1-2,N-D5-1,function,任务状态 CAS 条件更新,F-2002
N-D5-1-3,N-D5-1,function,扫描超时未完成任务,F-2011
N-D5-2,N-D5,group,任务查询与列表,
N-D5-2-1,N-D5-2,function,用户任务列表分页与过滤,F-2003
N-D5-2-2,N-D5-2,function,管理端全量任务列表,F-2004
N-D5-3,N-D5,group,任务提交(各平台),
N-D5-3-1,N-D5-3,function,Midjourney 绘图任务提交,F-2005
N-D5-3-2,N-D5-3,function,MJ 任务按 ID/条件拉取,F-2006
N-D5-3-3,N-D5-3,function,Suno 音乐/歌词任务提交查询,F-2007
N-D5-3-4,N-D5-3,function,视频生成任务提交,F-2008
N-D5-4,N-D5,group,任务计费与产物,
N-D5-4-1,N-D5-4,function,任务异步退款与差额结算,F-2009
N-D5-4-2,N-D5-4,function,任务结果产物展示,F-2010
N-D6,,domain,D6 预填分组,
N-D6-1,N-D6,group,预填分组管理,
N-D6-1-1,N-D6-1,function,预填分组创建,F-2012
N-D6-1-2,N-D6-1,function,预填分组更新与查重,F-2013
N-D6-1-3,N-D6-1,function,预填分组下拉填充,F-2014
N-D6-1-4,N-D6-1,function,预填分组软删除,F-2015
N-D7,,domain,D7 渠道管理与上游路由,
N-D7-1,N-D7,group,渠道生命周期管理,
N-D7-1-1,N-D7-1,function,渠道 CRUD/搜索/批量,F-2016
N-D7-1-2,N-D7-1,function,渠道连通性测试,F-2017
N-D7-1-3,N-D7-1,function,渠道上游余额查询更新,F-2018
N-D7-1-4,N-D7-1,function,按 tag 批量启停渠道,F-2019
N-D7-1-5,N-D7-1,function,上游模型探测与同步,F-2026
N-D7-1-6,N-D7-1,function,Ollama 模型管理,F-2027
N-D7-2,N-D7,group,渠道转发配置,
N-D7-2-1,N-D7-2,function,多 Key 模式管理,F-2020
N-D7-2-2,N-D7-2,function,模型映射/重定向,F-2021
N-D7-2-3,N-D7-2,function,状态码映射,F-2022
N-D7-2-4,N-D7-2,function,参数/请求头覆写,F-2025
N-D7-3,N-D7,group,路由选择与健康,
N-D7-3-1,N-D7-3,function,优先级+权重随机路由,F-2028
N-D7-3-2,N-D7-3,function,渠道自动禁用,F-2023
N-D7-3-3,N-D7-3,function,渠道自动恢复,F-2024
N-D8,,domain,D8 计费与额度,
N-D8-1,N-D8,group,计费引擎,
N-D8-1-1,N-D8-1,function,倍率计费,F-2038
N-D8-1-2,N-D8-1,function,缓存倍率计费,F-2039
N-D8-1-3,N-D8-1,function,表达式/阶梯计费,F-2040
N-D8-1-4,N-D8-1,function,阶梯计费结算,F-2041
N-D8-1-5,N-D8-1,function,预扣额度与多退少不补,F-2042
N-D8-1-6,N-D8-1,function,倍率配置管理与同步,F-2043
N-D8-2,N-D8,group,充值/兑换/订阅,
N-D8-2-1,N-D8-2,function,充值与余额查询,F-2044
N-D8-2-2,N-D8-2,function,兑换码,F-2045
N-D8-2-3,N-D8-2,function,订阅计划与订单,F-2046
N-D8-2-4,N-D8-2,function,订阅预扣/退款记录,F-2047
N-D8-3,N-D8,group,价格暴露,
N-D8-3-1,N-D8-3,function,公开价格页/模型价格暴露,F-2048
N-D9,,domain,D9 亲和缓存,
N-D9-1,N-D9,group,亲和键与粘连,
N-D9-1-1,N-D9-1,function,会话亲和键提取与渠道粘连,F-2029
N-D9-1-2,N-D9-1,function,内置 codex/claude header 透传模板,F-2030
N-D9-1-3,N-D9-1,function,亲和命中跳过重试,F-2034
N-D9-2,N-D9,group,亲和缓存运维,
N-D9-2-1,N-D9-2,function,亲和缓存策略配置,F-2031
N-D9-2-2,N-D9-2,function,清空亲和缓存,F-2032
N-D9-2-3,N-D9-2,function,亲和缓存用量统计查询,F-2033
N-D10,,domain,D10 跨分组重试,
N-D10-1,N-D10,group,跨分组重试策略,
N-D10-1-1,N-D10-1,function,auto 分组逐组耗尽切组重试,F-2035
N-D10-1-2,N-D10-1,function,令牌级跨分组重试开关,F-2036
N-D10-1-3,N-D10-1,function,全局重试次数配置,F-2037
