function_id,module,priority,prd_covered,prd_file
F-1001,D1 账号与身份,P0,yes,prd-account.md
F-1002,D1 账号与身份,P0,yes,prd-account.md
F-1003,D1 账号与身份,P1,yes,prd-account.md
F-1004,D1 账号与身份,P0,yes,prd-account.md
F-1005,D1 账号与身份,P0,yes,prd-account.md
F-1006,D1 账号与身份,P0,yes,prd-account.md
F-1007,D1 账号与身份,P0,yes,prd-account.md
F-1008,D1 账号与身份,P1,no,
F-1009,D1 账号与身份,P1,no,
F-1010,D1 账号与身份,P1,yes,prd-account.md
F-1011,D1 账号与身份,P2,no,
F-1012,D1 账号与身份,P0,no,
F-1013,D1 账号与身份,P1,no,
F-1014,D1 账号与身份,P2,no,
F-1015,D1 账号与身份,P0,no,
F-1016,D1 账号与身份,P1,yes,prd-account.md
F-1017,D1 账号与身份,P2,no,
F-1018,D1 账号与身份,P2,yes,prd-account.md
F-1019,D1 账号与身份,P2,yes,prd-account.md
F-1020,D1 账号与身份,P2,yes,prd-account.md
F-1021,D1 账号与身份,P2,yes,prd-account.md
F-1022,D1 账号与身份,P2,yes,prd-account.md
F-1023,D1 账号与身份,P2,no,
F-1024,D1 账号与身份,P2,no,
F-1025,D1 账号与身份,P2,yes,prd-account.md
F-1026,D1 账号与身份,P2,yes,prd-account.md
F-1027,D1 账号与身份,P2,yes,prd-account.md
F-1028,D1 账号与身份,P2,yes,prd-account.md
F-1029,D1 账号与身份,P2,yes,prd-account.md
F-1030,D1 账号与身份,P2,no,
F-1031,D1 账号与身份,P2,yes,prd-account.md
F-1032,D1 账号与身份,P2,no,
F-1033,D1 账号与身份,P2,yes,prd-account.md
F-1034,D1 账号与身份,P2,no,
F-1035,D1 账号与身份,P2,no,
F-1036,D1 账号与身份,P0,yes,prd-account.md
F-1037,D1 账号与身份,P2,no,
F-1038,D1 账号与身份,P1,yes,prd-account.md
F-1039,D3 邀请返利分销,P0,yes,prd-growth.md
F-1040,D3 邀请返利分销,P0,yes,prd-account.md
F-1041,D3 邀请返利分销,P1,yes,prd-growth.md
F-1042,D3 邀请返利分销,P0,yes,prd-growth.md
F-1043,D3 邀请返利分销,P1,yes,prd-growth.md
F-1044,D3 邀请返利分销,P0,yes,prd-growth.md
F-1045,D3 邀请返利分销,P1,yes,prd-growth.md
F-1046,D2 签到,P0,yes,prd-growth.md
F-1047,D2 签到,P1,yes,prd-growth.md
F-1048,D2 签到,P0,yes,prd-growth.md
F-1049,D2 签到,P1,yes,prd-growth.md
F-1050,D2 签到,P1,yes,prd-growth.md
F-1051,D4 Telegram登录Bot,P1,yes,prd-account.md
F-1052,D4 Telegram登录Bot,P1,yes,prd-account.md
F-1053,D4 Telegram登录Bot,P0,yes,prd-account.md
F-1054,D4 Telegram登录Bot,P1,yes,prd-account.md
F-2001,异步任务中心,P0,yes,prd-asynctask.md
