function_id,function,module,roles,priority,trigger,core_result,data_objects,evidence,acceptance_focus,state_exception_permission_rule,source_fc
F-2001,通用异步任务记录写入与状态机流转,异步任务中心,system,P0,relay 任务提交成功创建任务记录,"任务以 NOT_START 落库，随轮询/回调推进至 SUBMITTED/QUEUED/IN_PROGRESS/SUCCESS 或 FAILURE","Task(TaskID/Platform/Status/Progress/SubmitTime/FinishTime/FailReason/Quota)","model/task.go:34-66 TaskStatus 常量集与 Task struct；InitTask 初始 Status=TaskStatusNotStart、Progress=0%","提交后查库存在 status=NOT_START 的 Task 行，progress=""0%""；模拟回调推进后 status 依次合法变更","状态机仅允许 NOT_START→SUBMITTED→QUEUED→IN_PROGRESS→SUCCESS/FAILURE/UNKNOWN；终态(SUCCESS/FAILURE)不可再被普通 bulk update 覆盖",FC-030
F-2002,任务状态 CAS 条件更新(防并发覆盖),异步任务中心,system,P0,轮询/回调写入任务新状态,"以 fromStatus 为 WHERE 守卫做条件 UPDATE，赢得更新返回 true，已被他进程改写返回 false","Task.Status","model/task.go:411-417 UpdateWithStatus 用 Model().Select(*).Updates() 加 status=? 守卫，避免 Save 退化为 INSERT ON CONFLICT 绕过 CAS","两并发协程对同一 fromStatus 调用 UpdateWithStatus，仅一个返回 RowsAffected>0=true，另一个返回 false","计费生命周期(超时/成功/失败触发退款结算)必须用 UpdateWithStatus，禁止用无 CAS 守卫的 TaskBulkUpdateByID(注释明确警告)",FC-030
F-2003,用户任务列表分页与多条件过滤查询,异步任务中心,user,P0,用户访问 GET /api/task/self,"按 user_id 强制隔离返回本人任务，支持 task_id/action/status/platform/时间区间过滤、按 id desc 分页","Task,SyncTaskQueryParams","model/task.go:211-245 TaskGetAllUserTask 强制 Where(user_id=?) 并 Omit(channel_id)，Order(id desc).Limit.Offset","以 userA 令牌查询只返回 userA 的 Task；channel_id 字段不出现在返回中；status=SUCCESS 过滤只返回成功任务","返回结果按 user_id 隔离且 Omit(channel_id) 不泄露渠道；PrivateData(含 key) 永不序列化给用户(json:""-"")",FC-031
F-2004,管理端全量任务列表查询,异步任务中心,admin,P1,管理员访问 GET /api/task,"跨用户返回全量任务，支持 channel_id/user_id/user_ids/platform/action/status/时间区间过滤与分页","Task,SyncTaskQueryParams","model/task.go:247-290 TaskGetAllTasks 无 user_id 限制，支持 channel_id 与 user_id in(?) 过滤","管理员查询可返回多用户任务并按 channel_id 过滤命中；普通用户调用 /api/task 被 AdminAuth 拒绝","该列表含 channel_id，仅 AdminAuth 角色可访问；TaskCountAllTasks 提供同条件总数用于分页",FC-032
F-2005,Midjourney 绘图任务提交(imagine/change/blend/describe/modal/shorten/action/edits/video),异步任务中心,user,P0,用户调用 /mj/submit/:action,"按 action 类型构造 MJ 任务，记录 Action/Prompt 并进入任务状态机轮询","Midjourney(Action/MjId/Prompt/Status/Progress/Buttons/ImageUrl/VideoUrl)","REPO-INSPECTION D5 relay 提交侧 /mj/submit/* 列举 imagine/change/blend/describe/modal/shorten/video/edits；model/midjourney.go MJ 任务表","提交 imagine 返回 task_id 且 MJ 表新增 Action=IMAGINE 行；不支持 action 返回参数错误","MJ 渠道类型不支持连通性测试(channel-test.go:80-92 unsupportedTestChannelTypes 含 Midjourney/MidjourneyPlus)；mjproxy 拉不到账号实例且 AutoBan 开启时禁用渠道(mjproxy_handler.go:589)",FC-033
F-2006,MJ 任务按 ID 拉取与按条件列表查询,异步任务中心,user,P1,调用 /mj/task/:id/fetch 或 /mj/task/list-by-condition,"按 task_id 拉取单任务进度产物，或按条件批量拉取任务集合","Midjourney,Task","REPO-INSPECTION D5 路由 /mj/task/:id/fetch、/mj/task/list-by-condition；model/task.go:317-358 GetByOnlyTaskId/GetByTaskId/GetByTaskIds","fetch 已存在任务返回 progress 与 imageUrl；list-by-condition 传 id 集合返回对应任务数组","GetByTaskId 以 user_id+task_id 双条件查询保证用户只能拉本人任务；GetByOnlyTaskId 仅内部回调使用",FC-034
F-2007,Suno 音乐/歌词任务提交与查询(MUSIC/LYRICS),异步任务中心,user,P0,调用 /suno/submit/:action 与 /suno/fetch,"按 SunoAction(MUSIC/LYRICS)提交音乐/歌词生成任务并支持 fetch、fetch/:id 拉取","Task(Platform=suno),constant.SunoAction","constant/task.go:6-23 TaskPlatformSuno、SunoActionMusic/Lyrics、SunoModel2Action(suno_music/suno_lyrics)；REPO-INSPECTION D5 /suno/submit/:action /suno/fetch /suno/fetch/:id","提交 suno_music 模型生成 Platform=suno、action=MUSIC 任务；fetch/:id 返回该任务状态","action 取值受 SunoModel2Action 约束(仅 MUSIC/LYRICS)；Suno 渠道类型在 channel-test.go unsupportedTestChannelTypes 中不可连通性测试",FC-035
F-2008,视频生成任务提交(Sora/Kling/Vidu/Hailuo/Jimeng/Doubao/Vertex/Gemini),异步任务中心,user,P0,调用视频生成端点(controller/task_video.go),"按 provider adapter 提交视频任务，记录 PrivateData.ResultURL 并映射 TaskStatus→VideoStatus","Task,TaskPrivateData(ResultURL),TaskBillingContext","model/task.go:17-31 ToVideoStatus 映射 Queued/InProgress/Completed/Failed/Unknown；REPO-INSPECTION D5 relay/channel/task/{kling,sora,vidu,hailuo,jimeng,doubao,vertex,gemini}","提交视频任务返回 task_id 且状态查询返回 video status=queued；任务成功后 GetResultURL 返回视频地址","Gemini/VertexAi 渠道在 InitTask 时把 ApiKey 写入 PrivateData.Key(task.go:176-179)，该字段禁止返回用户；Kling/Jimeng/Doubao/Vidu 渠道不支持连通性测试",FC-036
F-2009,任务异步退款与差额结算(计费上下文重算),异步任务中心,system,P0,任务轮询到终态或超时,"读取 PrivateData.BillingContext 重算实际额度，按 BillingSource(wallet/subscription)对 token 或订阅做退款/差额结算","TaskBillingContext(ModelPrice/GroupRatio/ModelRatio/OtherRatios/PerCallBilling),TaskPrivateData(BillingSource/SubscriptionId/TokenId)","model/task.go:103-118 TaskBillingContext 注释""用于轮询阶段重新计算额度""、PerCallBilling""按次计费跳过差额结算""；Group 字段注释""修正计费用""(task.go:51)","按次计费(PerCallBilling=true)任务终态不触发差额结算；按量任务失败时按 BillingSource 退回预扣额度","退款/结算必须经 UpdateWithStatus 的 CAS 守卫执行(task.go:411-434 警告 billing/quota 生命周期禁用无守卫 bulk update)；BillingSource=subscription 走订阅退款、wallet 走令牌额度退款",FC-037
F-2010,任务结果产物展示(ImageUrl/VideoUrl/Buttons),异步任务中心,user,P1,用户查询已完成任务,"返回任务产物地址(图片/视频)与可交互按钮，旧数据 ResultURL 回退到 FailReason","Midjourney(ImageUrl/VideoUrl/Buttons),Task(GetResultURL)","model/task.go:129-136 GetResultURL 优先 PrivateData.ResultURL 否则回退 FailReason(历史兼容)；REPO-INSPECTION D5 model/midjourney.go ImageUrl/VideoUrl/Buttons","成功任务返回非空 result_url；新数据从 PrivateData.ResultURL 取、旧数据从 FailReason 取均能展示","仅 SUCCESS 状态任务展示产物；ResultURL 来自 PrivateData(不直接暴露 key 等敏感字段)",FC-038
F-2011,扫描超时未完成任务,异步任务中心,system,P1,后台定时任务按 cutoff 扫描,"拉取 progress!=100% 且非终态、submit_time 早于 cutoff 的任务批量做超时处理","Task","model/task.go:292-304 GetTimedOutUnfinishedTasks 条件 progress!=100% AND status NOT IN(FAILURE,SUCCESS) AND submit_time<cutoff","构造一条 submit_time 远早于 cutoff 的 IN_PROGRESS 任务，扫描命中并可被标记超时","超时标记触发退款时必须走 UpdateWithStatus(CAS)，避免覆盖已自然完成的任务状态",FC-030
F-2012,预填分组创建(model/tag/endpoint 三类型),预填分组,admin,P1,管理员 POST /api/prefill_group,"校验 name+type 非空且名称不重复后创建预填分组，Items 以 JSON 数组存储","PrefillGroup(Name/Type/Items)","controller/prefill_group.go:24-48 CreatePrefillGroup 校验 Name/Type 非空、IsPrefillGroupNameDuplicated(0,name) 重复检查","空 name 或空 type 返回""组名称和类型不能为空""；同名再次创建返回""组名称已存在""","Name 全局唯一(创建查重 id=0)；仅 AdminAuth 角色可访问 /api/prefill_group(REPO-INSPECTION D6)；Type 取 model/tag/endpoint",FC-039
F-2013,预填分组更新与名称冲突校验,预填分组,admin,P2,管理员 PUT /api/prefill_group,"校验存在 id 且新名称不与他组冲突后更新分组内容","PrefillGroup(Id/Name/Items)","controller/prefill_group.go:51-75 UpdatePrefillGroup 校验 Id!=0、IsPrefillGroupNameDuplicated(g.Id,name) 排除自身查重","缺 id 返回""缺少组 ID""；改名为他组已有名称返回""组名称已存在""；改回原名(排除自身)可成功","查重排除自身 id；仅 AdminAuth 可调用",FC-039
